zip;state;city;lat;lng
60420;IL;Dwight;41.088.701;-88.415.884
60421;IL;Elwood;41.426.018;-8.808.642
60422;IL;Flossmoor;41.540.574;-87.683.737
60423;IL;Frankfort;41.509.361;-87.824.774
60424;IL;Gardner;41.179.321;-88.296.543
60425;IL;Glenwood;41.546.718;-87.612.584
60426;IL;Markham;41.608.536;-87.661.115
60429;IL;Hazel Crest;41.573.803;-87.684.885
60430;IL;Homewood;41.555.579;-87.661.578
60431;IL;Joliet;41.527.154;-8.808.241
60432;IL;Joliet;41.537.758;-88.057.178
60433;IL;Joliet;41.511.873;-8.805.687
60435;IL;Shorewood;41.541.468;-88.128.107
60436;IL;Rockdale;41.508.818;-88.135.779
60437;IL;Kinsman;41.161.825;-88.480.477
60438;IL;Lansing;41.566.045;-87.544.634
60439;IL;Argonne;41.695.076;-88.023.558
60440;IL;Bolingbrook;41.697.605;-88.087.315
60441;IL;Romeoville;41.613.481;-88.025.581
60442;IL;Manhattan;41.428.883;-87.977.133
60443;IL;Matteson;41.510.183;-87.740.648
60444;IL;Mazon;41.297.189;-88.409.561
60445;IL;Crestwood;41.634.106;-87.732.418
60447;IL;Minooka;41.461.516;-88.278.596
60448;IL;Mokena;4.153.421;-87.891.121
60449;IL;Monee;41.419.133;-8.777.484
60450;IL;Morris;41.367.233;-88.417.769
60451;IL;New Lenox;41.506.701;-87.963.083
60452;IL;Oak Forest;41.607.684;-87.754.219
60453;IL;Oak Lawn;41.714.305;-87.751.564
60455;IL;Bridgeview;41.743.128;-87.806.572
60456;IL;Hometown;4.173.113;-87.731.536
60457;IL;Hickory Hills;41.726.228;-87.828.893
60458;IL;Justice;41.744.709;-87.834.587
60459;IL;Burbank;41.744.704;-87.769.907
60460;IL;Odell;41.023.773;-88.515.641
60461;IL;Olympia Fields;4.151.564;-87.689.952
60462;IL;Orland Park;41.619.378;-8.784.225
60463;IL;Palos Heights;41.662.146;-87.792.697
60464;IL;Palos Park;41.662.352;-87.852.146
60465;IL;Palos Hills;41.700.389;-87.826.276
60466;IL;University Park;41.474.064;-87.682.867
60468;IL;Peotone;4.133.609;-8.778.968
60469;IL;Posen;4.162.766;-87.687.213
60470;IL;Ransom;41.153.048;-88.650.214
60471;IL;Richton Park;41.481.854;-87.723.834
60472;IL;Robbins;41.642.289;-87.708.909
60473;IL;South Holland;41.597.916;-87.593.814
60475;IL;Steger;41.468.608;-87.638.585
60476;IL;Thornton;41.572.726;-87.607.823
60477;IL;Tinley Park;41.582.535;-87.804.963
60478;IL;Country Club Hil;41.559.773;-87.718.452
60479;IL;Verona;41.250.094;-8.851.701
60480;IL;Willow Springs;41.736.416;-87.878.588
60481;IL;Custer Park;41.298.063;-88.130.083
60482;IL;Worth;41.689.498;-87.786.272
60501;IL;Argo;41.784.245;-87.807.468
60504;IL;Aurora;41.752.269;-88.245.281
60505;IL;Aurora;41.758.209;-88.297.139
60506;IL;Aurora;41.766.414;-88.344.582
60510;IL;Batavia;41.848.165;-88.309.756
60511;IL;Big Rock;41.759.308;-88.537.617
60512;IL;Bristol;41.707.446;-88.401.354
60513;IL;Brookfield;4.182.167;-87.849.246
60514;IL;Clarendon Hills;41.779.729;-87.955.322
60515;IL;Downers Grove;41.803.428;-88.013.753
60516;IL;Downers Grove;41.760.157;-88.015.873
60517;IL;Woodridge;41.751.755;-8.804.885
60518;IL;Earlville;41.585.901;-88.910.346
60520;IL;Hinckley;41.769.108;-88.644.831
60521;IL;Oak Brook;417.891;-87.940.089
60525;IL;Hodgkins;41.801.345;-87.875.252
60530;IL;Lee;41.786.418;-88.971.386
60531;IL;Leland;41.606.591;-88.771.574
60532;IL;Lisle;41.786.174;-880.879
60534;IL;Lyons;41.813.016;-87.823.559
60538;IL;Montgomery;41.717.742;-88.331.965
60539;IL;Mooseheart;41.824.148;-88.331.532
60540;IL;Naperville;41.766.198;-88.141.038
60541;IL;Newark;41.526.679;-88.527.006
60542;IL;North Aurora;41.808.932;-88.327.424
60543;IL;Oswego;41.684.893;-88.345.305
60544;IL;Plainfield;41.600.884;-88.199.391
60545;IL;Plano;41.666.987;-8.853.838
60546;IL;North Riverside;41.837.367;-87.821.356
60548;IL;Sandwich;41.635.286;-88.639.303
60549;IL;Serena;41.499.481;-8.875.089
60550;IL;Shabbona;41.763.846;-88.875.249
60551;IL;Sheridan;41.516.428;-88.670.634
60552;IL;Somonauk;41.638.289;-88.681.645
60553;IL;Steward;41.847.545;-89.015.086
60554;IL;Sugar Grove;41.774.113;-88.439.721
60555;IL;Warrenville;41.828.046;-8.819.213
60556;IL;Waterman;41.750.365;-88.775.381
60558;IL;Western Springs;41.804.864;-87.899.485
60559;IL;Westmont;41.772.848;-87.975.736
60560;IL;Yorkville;41.638.725;-88.443.794
60563;IL;Naperville;4.178.955;-8.816.901
60564;IL;Naperville;41.704.022;-88.195.248
60565;IL;Naperville;41.732.833;-88.128.245
60601;IL;Chicago;41.885.847;-87.618.123
60602;IL;Chicago;41.882.883;-87.632.125
60603;IL;Chicago;4.187.985;-87.628.499
60604;IL;Chicago;4.187.845;-87.632.999
60605;IL;Chicago;4.187.125;-87.627.715
60606;IL;Chicago;41.886.822;-87.638.648
60607;IL;Chicago;41.872.075;-87.657.845
60608;IL;Chicago;41.851.482;-87.669.444
60609;IL;Chicago;41.809.721;-87.653.279
60610;IL;Chicago;41.903.294;-87.633.565
60611;IL;Chicago;41.897.105;-87.622.285
60612;IL;Chicago;41.880.483;-87.687.333
60613;IL;Chicago;41.954.341;-87.657.491
60614;IL;Chicago;4.192.286;-87.648.295
60615;IL;Chicago;41.802.211;-87.600.623
60616;IL;Chicago;4.184.258;-87.630.552
60617;IL;Chicago;41.725.743;-87.556.012
60618;IL;Chicago;41.946.401;-87.704.214
60619;IL;Chicago;41.745.765;-8.760.539
60620;IL;Chicago;41.741.119;-87.654.251
60621;IL;Chicago;41.774.993;-87.642.136
60622;IL;Chicago;41.901.923;-8.767.785
60623;IL;Chicago;41.849.015;-877.157
60624;IL;Chicago;41.880.394;-87.722.349
60625;IL;Chicago;41.970.325;-87.704.157
60626;IL;Chicago;42.009.475;-87.668.887
60627;IL;Riverdale;41.645.918;-87.618.213
60628;IL;Chicago;41.693.443;-87.624.277
60629;IL;Chicago;41.778.149;-87.706.936
60630;IL;Chicago;41.969.862;-87.760.273
60631;IL;Chicago;41.995.145;-87.808.215
60632;IL;Chicago;41.809.274;-8.770.518
60633;IL;Burnham;41.649.791;-87.549.489
60634;IL;Norridge;41.945.213;-87.796.054
60635;IL;Elmwood Park;41.922.907;-87.808.593
60636;IL;Chicago;41.775.989;-87.667.368
60637;IL;Chicago;41.781.312;-87.605.097
60638;IL;Bedford Park;41.789.703;-87.771.927
60639;IL;Chicago;41.920.162;-87.753.502
60640;IL;Chicago;41.971.928;-87.662.405
60641;IL;Chicago;41.945.333;-87.747.376
60642;IL;Evergreen Park;41.718.765;-87.701.721
60643;IL;Calumet Park;41.693.243;-87.659.445
60644;IL;Chicago;41.882.913;-87.758.163
60645;IL;Lincolnwood;42.007.718;-876.962
60646;IL;Lincolnwood;41.996.414;-87.759.172
60647;IL;Chicago;41.920.903;-87.704.322
60648;IL;Chicago;42.031.101;-8.781.636
60649;IL;Chicago;41.761.968;-87.570.252
60650;IL;Cicero;4.184.776;-8.776.008
60651;IL;Chicago;41.902.509;-87.739.307
60652;IL;Chicago;41.745.393;-87.713.516
60653;IL;Chicago;41.819.645;-87.612.605
60654;IL;Chicago;41.888.533;-87.635.292
60655;IL;Merrionette Park;41.693.033;-87.702.188
60656;IL;Harwood Heights;41.971.844;-87.819.981
60657;IL;Chicago;4.193.992;-87.652.805
60658;IL;Alsip;41.671.505;-87.729.967
60659;IL;Lincolnwood;41.991.687;-87.700.823
60660;IL;Chicago;41.990.879;-87.662.856
60661;IL;Chicago;41.881.351;-87.642.969
60666;IL;Amf Ohare;419.821;-87.906.803
60901;IL;Kankakee;41.116.582;-87.869.607
60910;IL;Aroma Park;41.094.653;-87.771.887
60911;IL;Ashkum;40.884.431;-87.941.148
60912;IL;Beaverville;40.967.164;-87.621.715
60913;IL;Bonfield;4.115.731;-88.061.854
60914;IL;Bourbonnais;41.166.119;-87.879.023
60915;IL;Bradley;41.145.376;-87.860.115
60917;IL;Buckingham;41.043.316;-88.177.156
60918;IL;Buckley;40.601.827;-88.036.092
60919;IL;Cabery;40.981.895;-88.192.085
60921;IL;Chatsworth;40.748.441;-88.293.662
60922;IL;Chebanse;4.102.541;-87.895.917
60924;IL;Cissna Park;40.585.814;-8.787.588
60927;IL;Clifton;40.939.444;-87.920.237
60928;IL;Crescent City;407.682;-8.783.703
60929;IL;Cullom;40.878.066;-88.276.476
60930;IL;Danforth;4.082.443;-87.986.824
60931;IL;Donovan;40.889.074;-87.604.635
60934;IL;Emington;40.978.317;-88.321.135
60935;IL;Essex;41.167.644;-88.184.528
60936;IL;Gibson City;40.465.932;-88.360.873
60938;IL;Gilman;40.767.987;-87.993.336
60940;IL;Grant Park;41.247.677;-87.647.992
60941;IL;Herscher;41.046.441;-88.085.801
60942;IL;Hoopeston;40.463.873;-87.666.229
60946;IL;Kempton;40.912.604;-88.209.013
60948;IL;Loda;40.524.097;-88.092.675
60949;IL;Ludlow;40.374.736;-88.137.965
60950;IL;Manteno;41.251.439;-87.846.761
60951;IL;Martinton;40.905.233;-87.744.257
60952;IL;Melvin;40.571.379;-88.255.078
60953;IL;Milford;40.629.253;-87.685.332
60954;IL;Momence;41.159.308;-87.657.515
60955;IL;Onarga;40.712.005;-87.995.841
60957;IL;Paxton;40.456.546;-88.098.989
60959;IL;Piper City;40.755.615;-88.187.347
60960;IL;Rankin;40.455.911;-87.888.355
60961;IL;Reddick;4.110.053;-88.208.928
60962;IL;Roberts;40.619.333;-88.180.414
60963;IL;Rossville;40.362.548;-87.669.181
60964;IL;Saint Anne;41.048.725;-87.656.363
60966;IL;Sheldon;40.780.288;-8.757.364
60968;IL;Thawville;40.684.011;-8.809.993
60970;IL;Watseka;40.773.351;-87.730.932
60973;IL;Wellington;4.053.394;-8.765.607
61001;IL;Apple River;42.471.432;-90.120.145
61006;IL;Ashton;41.864.327;-892.086
61007;IL;Baileyville;42.190.465;-89.593.937
61008;IL;Belvidere;42.259.465;-88.850.943
61010;IL;Byron;42.129.236;-89.265.887
61011;IL;Caledonia;4.238.346;-88.918.456
61012;IL;Capron;42.408.659;-88.746.518
61014;IL;Chadwick;41.996.205;-89.896.278
61015;IL;Chana;41.993.343;-89.211.693
61016;IL;Cherry Valley;42.220.562;-88.961.923
61018;IL;Dakota;42.403.078;-89.546.782
61019;IL;Davis;42.442.157;-89.406.721
61020;IL;Davis Junction;4.209.792;-89.083.838
61021;IL;Dixon;41.847.797;-89.489.303
61024;IL;Durand;42.433.653;-89.309.378
61025;IL;East Dubuque;42.487.488;-90.604.597
61028;IL;Elizabeth;42.308.942;-9.019.862
61030;IL;Forreston;42.122.924;-89.583.124
61031;IL;Franklin Grove;41.857.968;-89.317.112
61032;IL;Freeport;42.299.148;-89.634.521
61036;IL;Galena;42.418.233;-90.419.509
61038;IL;Garden Prairie;42.250.983;-8.874.367
61039;IL;German Valley;4.221.761;-89.471.151
61041;IL;Hanover;42.259.405;-90.289.707
61042;IL;Harmon;41.697.296;-89.569.513
61044;IL;Kent;42.315.528;-89.919.489
61045;IL;Kings;42.013.987;-89.099.685
61046;IL;Lanark;42.093.534;-89.824.732
61047;IL;Egan;42.140.975;-89.401.024
61048;IL;Lena;42.379.054;-89.825.251
61049;IL;Lindenwood;42.050.741;-89.033.979
61050;IL;Mc Connell;42.439.511;-89.741.545
61051;IL;Milledgeville;4.196.737;-89.780.121
61052;IL;Monroe Center;4.210.501;-89.016.946
61053;IL;Mount Carroll;42.105.308;-89.984.454
61054;IL;Mount Morris;42.047.903;-89.434.614
61060;IL;Orangeville;42.472.779;-89.644.757
61061;IL;Oregon;42.009.512;-89.344.364
61062;IL;Pearl City;42.260.972;-89.839.329
61063;IL;Pecatonica;42.305.111;-89.347.225
61064;IL;Polo;4.198.895;-89.598.358
61065;IL;Poplar Grove;42.359.365;-88.842.774
61067;IL;Ridott;42.299.607;-89.462.664
61068;IL;Rochelle;41.928.156;-89.071.035
61070;IL;Rock City;42.410.345;-89.475.901
61071;IL;Rock Falls;41.766.525;-89.692.473
61072;IL;Rockton;42.454.371;-89.088.744
61073;IL;Roscoe;42.421.659;-8.899.433
61074;IL;Savanna;42.095.581;-90.140.061
61075;IL;Scales Mound;42.471.548;-90.258.033
61078;IL;Shannon;42.161.049;-89.748.075
61080;IL;South Beloit;42.483.672;-89.029.791
61081;IL;Sterling;41.805.511;-8.970.539
61084;IL;Stillman Valley;4.211.835;-89.189.762
61085;IL;Stockton;42.349.224;-90.020.185
61087;IL;Warren;42.489.001;-89.985.992
61088;IL;Winnebago;42.272.723;-89.237.316
61089;IL;Winslow;4.248.383;-89.806.028
61101;IL;Rockford;42.292.233;-89.116.118
61102;IL;Rockford;42.254.669;-89.124.695
61103;IL;Rockford;42.300.986;-89.083.326
61104;IL;Rockford;42.255.355;-89.076.779
61107;IL;Rockford;42.278.629;-89.036.107
61108;IL;Rockford;42.251.406;-89.023.519
61109;IL;Rockford;42.216.581;-8.905.118
61111;IL;Loves Park;4.232.952;-89.033.521
61112;IL;Rockford;42.245.639;-88.970.429
61201;IL;Rock Island;41.491.317;-90.564.796
61230;IL;Albany;41.765.874;-90.208.051
61231;IL;Aledo;4.120.078;-90.741.629
61232;IL;Andalusia;41.435.324;-90.728.385
61234;IL;Annawan;41.398.022;-89.912.949
61235;IL;Atkinson;4.141.619;-90.022.482
61238;IL;Cambridge;41.311.379;-9.018.048
61240;IL;Coal Valley;41.435.143;-90.465.179
61241;IL;Green Rock;41.475.224;-90.349.231
61242;IL;Cordova;4.169.278;-90.307.121
61243;IL;Deer Grove;41.631.599;-896.972
61244;IL;East Moline;41.511.804;-90.432.118
61250;IL;Erie;41.655.958;-90.084.264
61251;IL;Fenton;41.728.495;-90.045.685
61252;IL;Fulton;418.522;-90.150.653
61254;IL;Geneseo;4.146.881;-90.171.127
61256;IL;Hampton;41.541.805;-90.323.037
61257;IL;Hillsdale;41.592.896;-90.226.255
61259;IL;Illinois City;41.389.236;-90.892.507
61260;IL;Joy;41.226.198;-90.851.757
61261;IL;Lyndon;41.719.933;-89.916.865
61262;IL;Lynn Center;41.288.761;-90.330.444
61263;IL;Matherville;41.269.075;-90.602.343
61264;IL;Milan;41.426.197;-90.573.935
61265;IL;Moline;41.490.609;-90.497.968
61270;IL;Morrison;41.816.664;-89.968.995
61272;IL;New Boston;41.215.259;-9.098.786
61273;IL;Orion;41.363.367;-90.384.929
61274;IL;Osco;41.363.674;-90.268.093
61275;IL;Port Byron;41.601.346;-90.326.291
61277;IL;Prophetstown;41.631.223;-89.946.665
61279;IL;Reynolds;41.327.675;-90.638.367
61281;IL;Sherrard;41.302.669;-90.493.863
61282;IL;Silvis;41.500.677;-90.412.609
61283;IL;Tampico;41.652.158;-89.794.793
61284;IL;Taylor Ridge;41.382.755;-90.734.047
61285;IL;Thomson;41.981.626;-90.084.443
61301;IL;La Salle;41.344.221;-89.095.468
61310;IL;Amboy;41.704.181;-8.934.716
61311;IL;Ancona;41.055.118;-88.766.039
61312;IL;Arlington;41.443.669;-89.221.949
61313;IL;Blackstone;41.071.945;-88.649.782
61314;IL;Buda;41.313.973;-89.679.476
61318;IL;Compton;41.684.976;-89.087.708
61319;IL;Manville;40.985.827;-88.742.694
61320;IL;Dalzell;41.373.077;-89.203.269
61321;IL;Dana;40.954.675;-88.962.793
61325;IL;Grand Ridge;41.238.621;-88.816.836
61326;IL;Granville;41.264.212;-89.225.029
61327;IL;Hennepin;41.235.154;-89.321.791
61330;IL;La Moille;41.537.557;-89.297.024
61332;IL;Leonore;41.166.368;-88.996.936
61333;IL;Long Point;40.989.553;-88.881.106
61334;IL;Lostant;41.145.007;-89.075.031
61335;IL;Mc Nabb;41.173.026;-89.218.664
61336;IL;Magnolia;41.116.374;-8.922.701
61337;IL;Malden;41.437.743;-8.936.761
61341;IL;Marseilles;41.330.201;-88.694.678
61342;IL;Mendota;41.544.308;-8.910.828
61344;IL;Mineral;41.403.556;-89.820.087
61345;IL;Neponset;41.290.457;-89.794.382
61346;IL;New Bedford;41.540.883;-89.778.558
61348;IL;Oglesby;41.292.768;-89.055.341
61349;IL;Ohio;41.537.149;-89.457.411
61350;IL;Ottawa;41.352.619;-88.841.589
61353;IL;Paw Paw;41.685.228;-88.967.377
61354;IL;Peru;41.333.021;-89.126.478
61356;IL;Princeton;41.362.934;-89.427.017
61358;IL;Rutland;40.984.407;-89.038.829
61360;IL;Seneca;41.315.248;-88.610.013
61361;IL;Sheffield;41.394.876;-89.711.502
61362;IL;Spring Valley;41.327.923;-8.920.417
61364;IL;Streator;4.112.249;-88.830.672
61367;IL;Sublette;41.633.144;-89.235.409
61368;IL;Tiskilwa;41.289.055;-89.507.968
61369;IL;Toluca;41.004.553;-8.913.481
61370;IL;Tonica;41.232.741;-89.088.993
61373;IL;Utica;41.363.033;-89.000.795
61375;IL;Varna;41.032.723;-89.248.331
61376;IL;Normandy;41.553.035;-89.592.237
61377;IL;Wenona;41.054.846;-89.041.637
61378;IL;West Brooklyn;41.729.156;-89.190.917
61379;IL;Wyanet;41.378.452;-89.574.423
61401;IL;Galesburg;40.952.138;-90.369.807
61410;IL;Abingdon;40.802.312;-90.400.898
61411;IL;Adair;40.385.197;-90.503.742
61412;IL;Alexis;41.052.146;-90.543.576
61413;IL;Alpha;41.193.029;-90.382.081
61414;IL;Altona;41.112.828;-90.159.826
61415;IL;Avon;40.654.947;-90.446.053
61416;IL;Bardolph;40.498.078;-90.502.495
61417;IL;Berwick;40.779.911;-90.505.913
61418;IL;Biggsville;40.853.122;-90.856.057
61420;IL;Blandinsville;40.551.585;-90.859.521
61421;IL;Bradford;4.115.323;-89.652.077
61422;IL;Bushnell;40.553.916;-90.506.027
61423;IL;Cameron;40.888.963;-9.050.013
61425;IL;Carman;40.755.054;-91.056.396
61427;IL;Cuba;404.995;-90.181.055
61428;IL;Dahinda;4.095.508;-90.139.808
61431;IL;Ellisville;40.604.652;-90.287.469
61432;IL;Fairview;4.064.418;-90.165.265
61433;IL;Fiatt;40.571.779;-90.162.186
61434;IL;Galva;41.165.627;-90.048.093
61435;IL;Gerlaw;40.999.519;-90.622.765
61436;IL;Gilson;40.876.525;-90.174.663
61437;IL;Gladstone;40.837.682;-90.994.078
61438;IL;Good Hope;40.574.891;-90.632.432
61440;IL;Industry;403.256;-90.610.524
61441;IL;Ipava;40.359.375;-90.296.744
61442;IL;Keithsburg;41.104.333;-90.926.337
61443;IL;Kewanee;41.241.116;-8.992.739
61447;IL;Kirkwood;40.863.849;-90.745.659
61448;IL;Knoxville;40.910.672;-90.287.116
61449;IL;La Fayette;41.109.535;-89.957.466
61450;IL;La Harpe;40.584.586;-90.968.746
61451;IL;Laura;40.933.468;-89.934.908
61452;IL;Littleton;40.233.929;-90.619.008
61453;IL;Little York;4.101.529;-90.736.434
61454;IL;Lomax;40.676.143;-91.039.096
61455;IL;Macomb;40.461.674;-90.678.674
61458;IL;Maquon;40.784.863;-90.200.841
61459;IL;Marietta;40.497.775;-9.038.846
61460;IL;Media;40.761.775;-9.085.696
61462;IL;Monmouth;40.910.702;-90.644.828
61465;IL;New Windsor;41.198.734;-90.459.842
61466;IL;North Henderson;41.100.607;-90.473.571
61467;IL;Oneida;41.083.236;-90.239.093
61469;IL;Oquawka;40.944.174;-90.930.199
61470;IL;Prairie City;40.617.952;-90.472.748
61471;IL;Raritan;40.687.808;-90.831.891
61472;IL;Rio;41.110.319;-90.389.978
61473;IL;Roseville;40.723.821;-9.065.145
61474;IL;Saint Augustine;407.289;-90.379.781
61475;IL;Sciota;40.567.361;-90.707.999
61476;IL;Seaton;41.073.222;-90.825.654
61477;IL;Smithfield;4.048.551;-90.285.601
61478;IL;Smithshire;40.740.021;-90.739.874
61479;IL;Speer;41.009.682;-89.693.254
61480;IL;Stronghurst;40.752.265;-90.925.702
61482;IL;Table Grove;40.378.441;-90.423.901
61483;IL;Toulon;41.100.949;-89.860.584
61484;IL;Vermont;4.030.623;-90.422.028
61485;IL;Victoria;41.025.635;-90.093.325
61486;IL;Viola;41.202.422;-90.593.583
61488;IL;Wataga;41.022.351;-9.027.231
61489;IL;Williamsfield;40.927.724;-90.026.725
61490;IL;Woodhull;41.184.887;-90.283.282
61491;IL;Wyoming;41.059.879;-89.778.238
61501;IL;Astoria;40.231.144;-90.344.254
61516;IL;Benson;4.083.058;-89.116.501
61517;IL;Brimfield;40.840.654;-89.897.038
61518;IL;Oak Hill;40.786.938;-8.983.725
61519;IL;Bryant;40.483.072;-90.066.134
61520;IL;Canton;40.560.137;-90.024.151
61523;IL;Chillicothe;40.901.349;-89.506.793
61524;IL;Dunfermline;40.490.342;-90.031.349
61525;IL;Dunlap;40.844.417;-89.639.655
61526;IL;Edelstein;40.945.367;-89.585.812
61528;IL;Edwards;40.764.362;-89.705.344
61529;IL;Elmwood;40.772.594;-89.928.882
61530;IL;Eureka;40.715.249;-89.270.561
61531;IL;Middlegrove;40.690.265;-90.013.434
61532;IL;Forest City;4.035.942;-89.833.426
61533;IL;Glasford;40.575.976;-89.811.326
61534;IL;Green Valley;4.041.978;-89.654.925
61536;IL;Hanna City;40.679.776;-89.795.242
61537;IL;Henry;41.111.543;-89.374.328
61539;IL;Kingston Mines;4.049.028;-89.806.791
61540;IL;Lacon;41.021.587;-89.400.842
61542;IL;Lewistown;40.383.046;-90.156.287
61543;IL;Liverpool;40.411.574;-90.038.972
61544;IL;London Mills;40.694.954;-90.261.594
61545;IL;Cazenovia;40.871.082;-89.370.399
61546;IL;Manito;40.415.991;-89.789.791
61547;IL;Mapleton;40.611.699;-89.718.429
61548;IL;Metamora;40.784.428;-89.430.876
61550;IL;Morton;40.614.771;-89.460.445
61554;IL;Pekin;40.567.435;-89.624.332
61559;IL;Princeville;40.909.277;-89.772.285
61560;IL;Putnam;4.119.486;-89.440.901
61561;IL;Roanoke;40.795.601;-89.209.334
61563;IL;Saint David;40.522.571;-90.043.739
61565;IL;Sparland;41.013.366;-8.945.711
61567;IL;Topeka;4.038.108;-8.993.263
61568;IL;Tremont;40.505.337;-89.483.316
61569;IL;Trivoli;40.679.506;-89.913.546
61570;IL;Washburn;4.091.413;-89.283.049
61571;IL;Sunnyland;40.699.364;-89.447.926
61572;IL;Yates City;40.787.826;-90.026.481
61602;IL;Peoria;40.687.987;-89.601.178
61603;IL;Peoria Heights;40.713.915;-89.580.813
61604;IL;Peoria;40.711.142;-89.632.377
61605;IL;Peoria;40.677.512;-89.626.325
61606;IL;Peoria;40.698.926;-89.612.189
61607;IL;Bartonville;40.652.434;-89.673.898
61611;IL;East Peoria;40.673.121;-8.955.141
61614;IL;Peoria Heights;4.075.481;-89.603.295
61615;IL;Peoria;40.770.165;-89.632.083
61701;IL;Bloomington;40.478.295;-88.989.318
61704;IL;Bloomington;40.471.618;-88.962.466
61720;IL;Anchor;40.544.091;-88.526.581
61721;IL;Armington;40.317.046;-89.321.775
61722;IL;Arrowsmith;40.411.966;-88.629.648
61723;IL;Atlanta;40.258.624;-89.230.021
61724;IL;Bellflower;40.340.091;-88.522.702
61725;IL;Carlock;40.602.898;-89.109.779
61726;IL;Chenoa;40.744.633;-88.721.853
61727;IL;Clinton;40.148.708;-8.896.266
61728;IL;Colfax;40.570.377;-88.620.016
61729;IL;Congerville;40.620.762;-89.199.397
61730;IL;Cooksville;40.536.014;-88.735.047
61731;IL;Cropsey;40.602.983;-88.494.343
61732;IL;Danvers;40.536.353;-89.188.487
61733;IL;Deer Creek;40.627.992;-893.003
61734;IL;Delavan;40.369.029;-89.532.133
61735;IL;Dewitt;40.184.759;-88.763.672
61736;IL;Holder;40.380.858;-88.870.814
61737;IL;Ellsworth;40.443.154;-88.737.121
61738;IL;El Paso;40.738.948;-89.011.952
61739;IL;Fairbury;40.745.033;-88.516.486
61740;IL;Flanagan;40.879.003;-8.886.196
61741;IL;Forrest;40.751.324;-88.411.143
61743;IL;Graymont;4.090.663;-88.760.299
61744;IL;Gridley;4.074.387;-88.884.044
61745;IL;Heyworth;403.307;-88.977.608
61747;IL;Hopedale;40.427.318;-89.421.398
61748;IL;Hudson;40.620.485;-88.975.931
61749;IL;Kenney;4.010.247;-89.078.925
61752;IL;Le Roy;40.346.781;-88.759.813
61753;IL;Lexington;40.635.685;-88.806.203
61754;IL;Mc Lean;40.328.159;-89.164.483
61755;IL;Mackinaw;40.539.643;-89.345.795
61756;IL;Maroa;40.034.159;-88.957.769
61759;IL;Minier;40.435.889;-89.316.484
61760;IL;Minonk;40.898.501;-89.034.863
61761;IL;Normal;40.512.446;-88.988.287
61764;IL;Pontiac;40.876.404;-88.632.775
61769;IL;Saunemin;40.888.516;-8.840.936
61770;IL;Saybrook;40.432.005;-88.524.656
61771;IL;Secor;40.722.402;-89.127.065
61772;IL;Shirley;40.417.437;-89.082.181
61773;IL;Sibley;40.582.315;-8.838.146
61774;IL;Stanford;40.437.575;-89.216.434
61775;IL;Strawn;40.647.615;-88.404.036
61776;IL;Towanda;40.553.326;-8.888.865
61777;IL;Wapella;40.232.305;-88.967.264
61778;IL;Waynesville;40.243.673;-89.114.299
61801;IL;Urbana;40.109.522;-88.203.631
61810;IL;Allerton;39.918.818;-87.931.235
61811;IL;Alvin;403.007;-87.608.003
61812;IL;Armstrong;40.217.548;-87.894.256
61813;IL;Bement;39.922.207;-8.856.877
61814;IL;Bismarck;40.255.187;-87.613.769
61816;IL;Broadlands;39.914.247;-87.994.831
61817;IL;Catlin;40.069.922;-87.711.255
61818;IL;Cerro Gordo;39.868.062;-88.725.634
61820;IL;Champaign;40.111.017;-88.240.747
61821;IL;Champaign;40.107.262;-88.278.847
61830;IL;Cisco;39.997.164;-88.696.153
61831;IL;Collison;40.220.737;-87.798.709
61832;IL;Danville;40.136.976;-87.621.737
61833;IL;Tilton;40.096.406;-87.644.048
61839;IL;De Land;40.110.656;-88.639.193
61840;IL;Dewey;40.313.055;-88.276.966
61841;IL;Fairmount;40.037.329;-87.836.456
61842;IL;Farmer City;40.244.689;-88.663.385
61843;IL;Fisher;40.299.126;-88.355.991
61844;IL;Fithian;4.011.924;-87.879.713
61845;IL;Foosland;4.035.537;-88.420.177
61846;IL;Georgetown;3.997.922;-8.763.648
61847;IL;Gifford;40.302.755;-88.031.705
61849;IL;Homer;40.034.619;-87.962.742
61850;IL;Indianola;39.926.819;-8.773.882
61851;IL;Ivesdale;39.950.233;-88.445.095
61852;IL;Longview;39.901.241;-88.075.282
61853;IL;Mahomet;40.196.437;-8.839.283
61854;IL;Mansfield;40.214.697;-88.517.895
61855;IL;Milmine;39.900.702;-88.648.696
61856;IL;Monticello;4.002.632;-88.568.555
61858;IL;Oakwood;40.116.656;-877.825
61859;IL;Ogden;40.140.117;-87.966.499
61862;IL;Penfield;40.310.137;-8.795.702
61863;IL;Pesotum;399.151;-88.274.331
61864;IL;Philo;40.005.156;-88.159.506
61865;IL;Potomac;40.309;-87.823.192
61866;IL;Rantoul;40.310.742;-88.146.179
61868;IL;Rantoul;40.295.886;-88.149.884
61870;IL;Ridge Farm;39.915.455;-87.634.578
61872;IL;Sadorus;39.961.312;-88.344.717
61873;IL;Saint Joseph;40.120.736;-88.047.232
61874;IL;Savoy;40.065.373;-88.252.837
61875;IL;Seymour;40.103.471;-88.394.431
61876;IL;Sidell;39.911.018;-87.824.802
61877;IL;Sidney;40.023.206;-88.069.029
61878;IL;Thomasboro;40.240.206;-88.183.033
61880;IL;Tolono;39.985.006;-88.259.641
61882;IL;Weldon;40.117.741;-88.753.055
